(0,0)={90,90,90,90,90,90,90,90,90,90,90,90}:1.00
(-12,23)={98,83,105,95,105,105,75,87,75,75,98,75}:0.01
(-11,23)={84,75,75,75,105,75,75,75,89,75,98,75}:0.01
(-11,22)={86,97,83,88,81,96,95,99,81,83,86,87}:0.01
(-10,22)={87,100,87,80,80,80,100,81,80,80,85,89}:1.0
(-16,26)={60,107,67,107,107,89,60,91,60,60,60,107}:0.01
(-66,63)={60,107,113,107,107,60,60,60,60,60,120,107}:0.01
(-66,64)={60,107,113,107,107,60,60,60,60,60,60,107}:0.01
(-67,64)={111,66,66,66,114,111,111,111,69,111,111,114}:0.01
(-68,65)={60,107,113,107,107,90,60,60,60,60,60,107}:0.01
(-58,58)={69,114,114,114,114,111,69,69,69,111,89,66}:0.01
(-4,18)={67,67,113,113,67,67,67,113,113,67,113,91}:0.01
(-9,21)={106,106,74,99,74,75,75,75,105,74,85,87}:0.01
(-9,22)={113,114,89,114,66,113,113,66,114,114,66,66}:0.01
(-3,16)={67,114,113,89,112,113,113,67,113,69,113,68}:0.01
(-8,21)={114,68,67,66,68,114,112,112,68,66,91,112}:0.01
(-10,20)={90,90,90,90,90,89,89,90,89,90,90,90}:0.994
(-10,21)={104,70,76,101,101,84,70,77,83,101,104,90}:0.01
(-10,23)={90,90,90,90,90,89,89,90,89,90,90,90}:0.996
(-10,24)={90,90,90,90,90,89,89,90,89,90,90,90}:0.994
(-10,25)={90,90,90,90,90,89,89,90,89,90,90,90}:0.994
(-13,24)={97,106,105,99,106,105,106,94,75,106,75,82}:0.01
(-12,24)={106,84,94,75,86,82,83,105,75,74,105,75}:0.01
(14,3)={66,60,60,107,120,60,107,67,89,60,60,60}:0.01
(43,-22)={67,114,90,113,112,67,67,113,67,111,113,68}:0.01
(50,-29)={113,66,67,113,68,67,113,67,113,111,113,112}:0.01
(50,-28)={91,60,60,107,60,60,107,113,91,60,60,60}:0.01
(49,-28)={93,83,104,94,102,91,88,82,102,83,85,105}:0.01
(44,-23)={113,114,113,113,68,113,113,67,113,69,113,112}:0.01
(33,-12)={85,75,96,99,105,75,75,105,96,96,82,75}:0.01
(34,-13)={75,105,81,75,105,75,89,105,75,105,89,91}:0.01
(35,-14)={90,67,113,67,113,67,67,113,113,113,113,113}:0.01
(33,-13)={105,75,89,90,75,75,75,75,93,105,75,94}:0.01
(36,-15)={113,113,113,113,113,67,113,67,89,67,89,67}:0.01
(40,-19)={67,113,114,67,113,90,113,113,113,114,67,66}:0.01
(45,-23)={113,114,113,67,68,67,113,67,113,69,113,112}:0.01
(46,-25)={99,73,81,72,97,103,76,76,87,75,71,105}:0.01
(42,-21)={113,67,66,114,67,67,113,67,67,113,67,113}:0.01
(44,-22)={113,66,67,113,68,91,113,113,113,111,113,112}:0.01
(38,-17)={114,66,114,114,66,113,113,67,67,114,114,66}:0.01
(39,-18)={105,93,105,75,105,105,105,105,93,105,82,75}:0.01
(37,-16)={66,66,66,90,66,113,67,67,67,66,66,66}:0.01
(36,-14)={114,113,66,113,89,67,67,66,67,113,114,66}:0.01
(32,-11)={105,105,105,75,96,105,97,105,105,105,75,86}:0.01
(29,-9)={113,113,66,114,113,67,67,67,113,66,67,114}:0.01
(29,-8)={67,89,67,114,114,67,113,66,113,66,113,114}:0.01
(30,-9)={81,91,105,93,75,105,75,105,93,105,75,75}:0.01
(30,-10)={67,67,67,66,114,67,67,114,113,89,113,114}:0.01
(31,-10)={75,105,86,75,75,105,90,105,75,90,75,88}:0.01
(41,-20)={113,113,66,67,113,113,67,67,113,66,113,66}:0.01
(28,-7)={105,75,89,92,75,105,75,85,75,91,105,75}:0.01
(25,-5)={113,113,90,113,67,113,113,67,67,114,67,66}:0.01
(21,-1)={67,113,66,67,113,113,67,113,67,66,67,114}:0.01
(16,1)={113,67,114,113,113,67,67,67,67,66,113,114}:0.01
(4,10)={113,114,66,66,66,113,67,113,67,113,113,113}:0.01
(-7,19)={68,112,67,90,114,114,112,112,113,112,89,68}:0.01
(-15,26)={66,113,89,112,68,67,90,66,112,68,112,66}:0.01
(-8,20)={112,68,67,66,66,66,112,112,113,112,114,68}:0.01
(-2,16)={112,66,112,67,114,66,112,66,67,68,68,68}:0.01
(2,12)={68,68,68,112,113,68,114,66,66,68,67,66}:0.01
(3,12)={68,114,68,67,66,114,112,114,113,112,112,91}:0.01
(-14,25)={99,98,75,105,75,90,94,98,105,75,88,83}:0.01
(-14,24)={66,114,68,113,114,66,114,66,113,91,112,66}:0.01
(-7,20)={67,66,67,67,68,113,90,113,67,111,113,112}:0.01
(-15,25)={91,114,112,67,66,66,114,114,67,114,112,114}:0.01
(-5,18)={75,82,105,75,75,75,88,105,83,75,75,105}:0.01
(-4,17)={67,67,67,67,67,90,67,67,67,113,67,113}:0.01
(-6,19)={113,114,67,67,68,67,67,113,67,69,67,68}:0.01
(-3,17)={67,66,90,67,68,67,67,67,67,111,113,112}:0.01
(17,1)={60,120,60,60,60,113,107,107,107,61,60,60}:0.01
(58,-37)={60,60,60,60,60,113,107,107,107,89,60,60}:0.01
(61,-40)={60,60,60,113,60,107,107,89,107,61,60,107}:0.01
(62,-41)={60,60,60,60,60,113,107,107,107,119,60,60}:0.01
(53,-32)={113,113,67,67,67,67,67,67,67,113,67,113}:0.01
(54,-33)={114,66,66,114,114,67,113,67,113,114,114,114}:0.01
(54,-32)={113,67,113,91,89,67,113,113,67,67,113,67}:0.01
(1,12)={67,67,67,67,113,113,113,67,67,67,89,113}:0.01
(55,-33)={60,60,107,107,120,107,60,107,107,60,107,107}:0.01
(55,-34)={60,60,107,107,60,107,90,107,107,89,107,107}:0.01
(38,-16)={114,66,66,66,114,113,67,113,113,66,114,66}:0.01
(47,-26)={104,72,104,102,78,102,92,93,102,78,90,87}:0.01
(45,-24)={104,90,91,88,102,83,86,86,92,89,81,75}:0.01
(46,-24)={99,107,84,72,72,103,76,104,103,75,71,82}:0.01
(47,-25)={113,66,90,67,68,113,113,113,90,111,113,68}:0.01
(48,-27)={104,108,81,83,102,102,72,92,85,102,104,85}:0.01
(48,-26)={113,114,67,113,68,67,67,113,113,90,113,68}:0.01
(39,-17)={114,66,67,113,114,67,66,113,113,66,113,67}:0.01
(42,-20)={66,114,113,90,114,67,66,113,67,114,67,67}:0.01
